t,verbo,rajada,religa_s,conf1_s,conf2_s,bat,vcc,vccmin,rst,boots,bods,cuts,erro,repouso
21:09:37,ABRIR,0,0.28,0.41,11.91,3.8,4979,4979,B,0,0,0,,5
21:10:01,FECHAR,0,0.28,0.41,11.95,3.78,4979,4979,B,0,0,0,,70
21:11:29,ABRIR,0,0.29,0.42,11.93,3.78,4979,4979,B,1,1,1,,5
21:11:52,FECHAR,0,0.29,0.41,11.92,3.79,4979,4979,B,1,1,1,,5
21:12:18,ABRIR,1,0.29,1.2,11.92,3.79,,,,,,,,5
21:12:50,FECHAR,0,0.29,0.41,11.92,3.8,4979,4979,B,1,1,1,,25
21:13:34,ABRIR,0,0.29,0.42,11.89,3.78,4979,4979,B,1,1,1,,70
21:15:02,FECHAR,0,0.29,0.41,11.91,3.79,4979,4979,B,2,2,2,,25
21:15:45,ABRIR,0,0.28,0.41,11.94,3.79,4979,4979,B,2,2,2,,25
21:16:28,FECHAR,1,0.29,1.2,11.93,3.78,,,,,,,,25
21:17:20,ABRIR,0,0.29,0.42,11.92,3.79,4979,4979,B,3,3,3,,5
21:17:43,FECHAR,0,0.29,0.42,11.93,3.78,4979,4979,B,3,3,3,,25
21:18:26,ABRIR,0,0.29,0.42,11.91,3.79,4979,4979,B,3,3,3,,5
21:18:50,FECHAR,0,0.29,0.41,11.92,3.79,4979,4979,B,3,3,3,,25
21:19:34,ABRIR,1,0.29,1.2,11.92,3.79,,,,,,,,5
21:20:05,FECHAR,0,0.28,0.42,11.93,3.79,4979,4979,B,4,4,3,,5
21:20:29,ABRIR,0,0.29,0.41,11.92,3.79,4979,4979,B,4,4,3,,70
21:21:57,FECHAR,0,0.28,0.42,11.93,3.78,4979,4957,B,5,5,4,,25
21:22:41,ABRIR,0,0.29,0.42,11.92,3.79,4979,4979,B,5,5,4,,5
21:23:04,FECHAR,1,0.28,1.2,11.93,3.79,,,,,,,,5
21:23:36,ABRIR,0,0.29,0.42,11.92,3.78,4979,4979,B,6,6,4,,25
